COD PEDIDO,COD ARTICULO,NOMBRE ARTICULO,NUCLEO,GROSOR,FIRMEZA,ID MUJER1,MUJER1 altura,MUJER1 peso,MUJER1 imc,MUJER1 VALORACION,MUJER1 MOLESTIAS ANTES,MUJER1 MOLESTIAS DESPUES,ID HOMBRE1,HOMBRE1 altura,HOMBRE1 peso,HOMBRE1 imc,HOMBRE1 VALORACION,HOMBRE1 MOLESTIAS ANTES,HOMBRE1 MOLESTIAS DESPUES,ID NIÑO,NIÑO/A altura,NIÑO/A peso,NIÑO/A imc,NIÑO/A valoracion
23224,685,"colchón Gaudí 25 y 30 cm,",muelles Ensacados,30 cm,4,3110,"1,7",65,22,5,no,no,3109,"1,88",80,23,5,no,no,,,,,
23370,685,"colchón Gaudí 25 y 30 cm,",muelles Ensacados,30 cm,4,3112,"1,6",55,21,5,no,no,3111,"1,7",70,24,5,no,no,,,,,
25849,685,"colchón Gaudí 25 y 30 cm,",muelles Ensacados,30 cm,4,,,,,,,,3042,"1,9",90,25,5,no,no,,,,,
28246,685,"colchón Gaudí 25 y 30 cm,",muelles Ensacados,25 cm,4,,,,,,,,3090,"1,85",80,23,5,no,no,,,,,
14877,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,5182,"1,57",70,28,3,si,si,5181,"1,77",70,22,4,no,no,,,,,
15219,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,5239,"1,8",80,25,5,no,no,,,,,
15268,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,5254,"1,8",100,31,5,no,no,,,,,
15966,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,2557,"1,7",80,28,5,no,no,2556,"1,8",80,25,5,no,no,,,,,
16065,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,2483,"1,7",70,24,5,no,no,2482,"1,9",90,25,5,no,no,,,,,
16067,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,2659,"1,7",70,24,5,no,no,,,,,
17637,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,2664,"1,62",80,30,4,no,no,2665,"1,8",90,28,4,no,no,,,,,
17873,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,2592,"1,6",54,21,4,-,-,,,,,,,,,,,,
18054,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,2666,"1,7",70,24,4,no,no,,,,,
20817,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,2684,"1,6",100,39,"3,5",no,no,,,,,
21261,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,2686,"1,65",60,22,4,no,no,2685,"1,76",78,25,4,no,no,,,,,
21297,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,2700,"1,74",94,31,5,no,no,,,,,
23506,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,3032,"1,6",62,24,5,no,no,3031,"1,85",90,26,"3,5",si,si,,,,,
23960,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,3033,"1,65",55,20,5,no,no,3034,"1,85",100,29,5,no,no,,,,,
24797,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,,,,,,,,3115,"1,8",118,36,5,no,no,,,,,
26295,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,3117,"1,6",65,25,5,no,no,3116,"1,9",100,28,5,no,no,,,,,
28176,198,colchón Gaviota Oro,muelles Ensacados,31 cm,4,3118,"1,65",55,20,5,no,no,3119,"1,7",80,28,5,no,no,,,,,
3830,503,colchón Gladiador,espumación HR,25 cm,5,3345,"1,55",54,22,4,si,si,3346,"1,7",70,24,4,no,no,,,,,
3830,503,colchón Gladiador,espumación HR,25 cm,5,5518,"1,55",54,22,4,si,si,5519,"1,7",70,24,4,no,no,,,,,
4550,503,colchón Gladiador,espumación HR,25 cm,5,,,,,,,,4044,"1,9",82,23,5,no,no,,,,,
4550,503,colchón Gladiador,espumación HR,25 cm,5,,,,,,,,6178,"1,9",82,23,5,no,no,,,,,
4845,503,colchón Gladiador,espumación HR,25 cm,5,4031,"1,6",48,19,4,no,no,,,,,,,,,,,,
4845,503,colchón Gladiador,espumación HR,25 cm,5,6166,"1,6",48,19,4,no,no,,,,,,,,,,,,
3590,542,Colchón Glory,espumación HR,25 cm,4,3298,"1,61",52,20,5,no,no,3297,"1,75",78,25,5,no,no,,,,,
3590,542,Colchón Glory,espumación HR,25 cm,4,5471,"1,61",52,20,5,no,no,5470,"1,75",78,25,5,no,no,,,,,
3607,542,Colchón Glory,espumación HR,25 cm,4,3301,"1,5",65,29,"4,5",si,si,3302,"1,7",70,24,"4,5",no,-,,,,,
3607,542,Colchón Glory,espumación HR,25 cm,4,5474,"1,5",65,29,"4,5",si,si,5475,"1,7",70,24,"4,5",no,-,,,,,
4026,542,Colchón Glory,espumación HR,25 cm,4,,,,,,,,3379,"1,65",112,41,5,si,si,,,,,
4026,542,Colchón Glory,espumación HR,25 cm,4,,,,,,,,5552,"1,65",112,41,5,si,si,,,,,
3900,37,colchón Habana,muelles,29 cm,4,3355,"1,68",60,21,5,no,no,3354,"1,9",90,25,5,no,no,,,,,
3900,37,colchón Habana,muelles,29 cm,4,5528,"1,68",60,21,5,no,no,5527,"1,9",90,25,5,no,no,,,,,
4419,37,colchón Habana,muelles,29 cm,4,,,,,,,,3428,"1,96",80,21,5,no,no,,,,,
4419,37,colchón Habana,muelles,29 cm,4,,,,,,,,5601,"1,96",80,21,5,no,no,,,,,
4732,37,colchón Habana,muelles,29 cm,4,,,,,,,,4039,"1,6",60,23,5,no,no,,,,,
5086,37,colchón Habana,muelles,29 cm,4,,,,,,,,3996,"1,75",100,33,5,no,no,,,,,
5086,37,colchón Habana,muelles,29 cm,4,,,,,,,,6131,"1,75",100,33,5,no,no,,,,,
5229,37,colchón Habana,muelles,29 cm,4,3979,"1,7",70,24,4,si,si,3978,"1,75",70,23,4,si,si,,,,,
5229,37,colchón Habana,muelles,29 cm,4,6114,"1,7",70,24,4,si,si,6113,"1,75",70,23,4,si,si,,,,,
5326,37,colchón Habana,muelles,29 cm,4,,,,,,,,3969,"1,8",80,25,5,si,si,,,,,
5532,37,colchón Habana,muelles,29 cm,4,,,,,,,,3923,"1,83",98,29,4,si,no,,,,,
5532,37,colchón Habana,muelles,29 cm,4,,,,,,,,6071,"1,83",98,29,4,si,no,,,,,
5664,37,colchón Habana,muelles,29 cm,4,3903,"1,7",70,24,5,si,no,3902,"1,8",100,31,4,si,no,,,,,
5664,37,colchón Habana,muelles,29 cm,4,6051,"1,7",70,24,5,si,no,6050,"1,8",100,31,4,si,no,,,,,
5685,37,colchón Habana,muelles,29 cm,4,3896,"1,6",55,21,5,no,no,3897,"1,7",65,22,5,-,-,,,,,
5685,37,colchón Habana,muelles,29 cm,4,6044,"1,6",55,21,5,no,no,6045,"1,7",65,22,5,-,-,,,,,
6467,37,colchón Habana,muelles,29 cm,4,3756,"1,7",75,26,5,no,no,,,,,,,,,,,,
6467,37,colchón Habana,muelles,29 cm,4,5910,"1,7",75,26,5,no,no,,,,,,,,,,,,
6628,37,colchón Habana,muelles,29 cm,4,,,,,,,,3704,"1,88",71,20,5,no,no,,,,,
6628,37,colchón Habana,muelles,29 cm,4,,,,,,,,5861,"1,88",71,20,5,no,no,,,,,
6718,37,colchón Habana,muelles,29 cm,4,3652,"1,7",60,21,5,no,no,,,,,,,,,,,,
6718,37,colchón Habana,muelles,29 cm,4,5810,"1,7",60,21,5,no,no,,,,,,,,,,,,
7018,37,colchón Habana,muelles,29 cm,4,3486,"1,6",55,21,5,si,no,3487,"1,75",74,24,5,si,no,,,,,
7018,37,colchón Habana,muelles,29 cm,4,5656,"1,6",55,21,5,si,no,5657,"1,75",74,24,5,si,no,,,,,
7041,37,colchón Habana,muelles,29 cm,4,3476,"1,71",65,22,"4,5",no,si,,,,,,,,,,,,
7041,37,colchón Habana,muelles,29 cm,4,5646,"1,71",65,22,"4,5",no,si,,,,,,,,,,,,
7076,37,colchón Habana,muelles,29 cm,4,,,,,,,,3545,"1,8",90,28,"2,5",no,no,,,,,
7076,37,colchón Habana,muelles,29 cm,4,,,,,,,,5709,"1,8",90,28,"2,5",no,no,,,,,
7132,37,colchón Habana,muelles,29 cm,4,3558,"1,7",80,28,4,si,no,3559,"1,75",80,26,4,no,no,,,,,
7132,37,colchón Habana,muelles,29 cm,4,5722,"1,7",80,28,4,si,no,5723,"1,75",80,26,4,no,no,,,,,
7359,37,colchón Habana,muelles,29 cm,4,4101,"1,55",50,21,"4,5",si,no,4100,"1,75",80,26,"4,5",si,no,,,,,
7359,37,colchón Habana,muelles,29 cm,4,6234,"1,55",50,21,"4,5",si,no,6233,"1,75",80,26,"4,5",si,no,,,,,
7767,37,colchón Habana,muelles,29 cm,4,,,,,,,,4437,"1,74",65,21,5,no,no,,,,,
8213,37,colchón Habana,muelles,29 cm,4,4705,"1,7",100,35,4,no,no,,,,,,,,,,,,
8827,37,colchón Habana,muelles,29 cm,4,,,,,,,,4718,"1,86",136,39,5,no,no,,,,,
9242,37,colchón Habana,muelles,29 cm,4,4504,"1,62",65,25,5,no,no,,,,,,,,,,,,
9586,37,colchón Habana,muelles,29 cm,4,,,,,,,,4979,"1,78",80,25,4,no,no,,,,,
9653,37,colchón Habana,muelles,29 cm,4,,,,,,,,4931,"1,72",98,33,5,no,no,,,,,
9759,37,colchón Habana,muelles,29 cm,4,,,,,,,,4780,"1,98",85,22,"4,5",no,no,,,,,
9942,37,colchón Habana,muelles,29 cm,4,,,,,,,,4969,"1,82",90,27,5,no,-,,,,,
10018,37,colchón Habana,muelles,29 cm,4,,,,,,,,4857,"1,82",85,26,"4,5",no,no,,,,,
11410,37,colchón Habana,muelles,29 cm,4,,,,,,,,4795,"1,75",70,23,4,no,no,,,,,
11431,37,colchón Habana,muelles,29 cm,4,4798,"1,61",60,23,"4,5",si,no,4799,"1,87",90,26,"4,5",no,no,,,,,
13620,37,colchón Habana,muelles,29 cm,4,,,,,,,,5176,"1,78",75,24,2,no,si,,,,,
15945,37,colchón Habana,muelles,29 cm,4,,,,,,,,2699,"1,73",86,29,4,no,no,,,,,
16094,37,colchón Habana,muelles,29 cm,4,2696,"1,63",72,27,5,no,no,2697,"1,76",99,32,5,no,no,,,,,
16679,37,colchón Habana,muelles,29 cm,4,2578,"1,6",53,21,4,no,no,,,,,,,,,,,,
16994,37,colchón Habana,muelles,29 cm,4,,,,,,,,2739,"1,8",95,29,4,no,no,,,,,
17027,37,colchón Habana,muelles,29 cm,4,,,,,,,,2353,"1,83",110,33,5,si,si,,,,,
17144,37,colchón Habana,muelles,29 cm,4,,,,,,,,2430,"1,85",77,22,4,no,no,,,,,
18210,37,colchón Habana,muelles,29 cm,4,2498,"1,6",52,20,5,no,no,2497,"1,75",100,33,5,no,no,,,,,
22001,37,colchón Habana,muelles,29 cm,4,2698,"1,63",72,27,5,no,no,,,,,,,,,,,,
30603,37,colchón Habana,muelles,29 cm,4,2935,"1,7",52,18,0,no,no,2936,"1,8",75,23,0,no,no,,,,,
30611,37,colchón Habana,muelles,29 cm,4,3077,"1,63",90,34,5,no,no,,,,,,,,,,,,
3637,474,colchón Harlem,muelles,28 cm,5,3315,"1,75",90,29,5,no,no,3314,"1,8",90,28,5,no,no,,,,,
3637,474,colchón Harlem,muelles,28 cm,5,5488,"1,75",90,29,5,no,no,5487,"1,8",90,28,5,no,no,,,,,
4208,474,colchón Harlem,muelles,28 cm,5,3401,"1,67",70,25,2,si,si,3402,"1,7",84,29,3,si,si,,,,,
4208,474,colchón Harlem,muelles,28 cm,5,5574,"1,67",70,25,2,si,si,5575,"1,7",84,29,3,si,si,,,,,
5327,474,colchón Harlem,muelles,28 cm,5,3968,"1,6",70,27,5,no,no,,,,,,,,,,,,
7799,449,Colchón Junior Adapt Visco A,espumación HR,"20,5 cm",4,,,,,,,,,,,,,,,4630,"1,4",40,20,4
18417,449,Colchón Junior Adapt Visco A,espumación HR,"20,5 cm",4,,,,,,,,,,,,,,,2740,1,13,13,5
18483,449,Colchón Junior Adapt Visco A,espumación HR,"20,5 cm",4,,,,,,,,,,,,,,,2715,1,17,17,4
20035,449,Colchón Junior Adapt Visco A,espumación HR,"20,5 cm",4,,,,,,,,,,,,,,,2743,"1,73",65,22,4
21444,449,Colchón Junior Adapt Visco A,espumación HR,"20,5 cm",4,,,,,,,,,,,,,,,3251,"1,2",20,14,"4,5"
6288,447,colchón Junior Visco A,muelles,"23,3 cm",4,3451,"1,65",55,20,"4,5",no,no,3450,"1,75",68,22,"4,5",no,no,,,,,
6288,447,colchón Junior Visco A,muelles,"23,3 cm",4,5621,"1,65",55,20,"4,5",no,no,5620,"1,75",68,22,"4,5",no,no,,,,,
7246,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4392,1,15,15,5
7256,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4421,"1,1",21,17,5
7428,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4281,"1,05",15,14,"3,5"
7439,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4498,"0,95",12,13,4
7692,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4434,"1,12",17,14,5
7972,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4631,1,15,15,"4,5"
9178,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4373,"1,25",12,8,5
9441,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4701,"1,42",32,16,5
9505,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4641,"1,4",30,15,5
9507,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4527,"1,45",30,14,5
9654,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4851,"1,3",25,15,4
9699,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4955,"1,25",26,17,5
9729,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4736,1,15,15,5
10250,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4745,1,18,18,5
12185,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,4928,"0,98",12,11,5
12251,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,5277,"1,1",20,17,4
15982,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2839,"1,6",50,20,5
16058,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2836,"1,1",20,17,"4,5"
16107,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2489,"1,6",55,21,4
16217,447,colchón Junior Visco A,muelles,"23,3 cm",4,2830,"1,7",50,17,4,no,no,,,,,,,,,,,,
16805,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2831,"1,15",16,12,"4,5"
16807,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2837,"1,2",18,13,5
17028,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2705,"1,1",18,15,4
17103,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,3252,"1,25",25,16,4
17198,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2823,1,15,15,4
18064,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2824,1,12,12,5
18282,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2825,"1,5",49,22,5
18469,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2826,"1,1",15,12,5
19152,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2840,"1,98",130,29,5
19232,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2801,"1,05",18,16,5
19422,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2832,"1,45",18,9,"4,5"
19631,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2838,"0,85",15,21,5
19920,447,colchón Junior Visco A,muelles,"23,3 cm",4,,,,,,,,,,,,,,,2833,"1,1",20,17,5
20612,1046,colchón Kid Box,muelles Ensacados,23 cm,4,,,,,,,,,,,,,,,2373,"1,2",25,17,5
9462,833,Colchón Látex Soft,látex,23 cm,4,4497,"1,58",65,26,5,si,si,,,,,,,,,,,,
10055,833,Colchón Látex Soft,látex,23 cm,4,5023,"1,75",62,20,4,no,no,,,,,,,,,,,,
10690,833,Colchón Látex Soft,látex,23 cm,4,5046,"1,7",55,19,"4,5",no,no,5045,"1,73",72,24,"4,5",no,no,,,,,
11413,833,Colchón Látex Soft,látex,23 cm,4,5153,"1,58",55,22,3,no,no,,,,,,,,,,,,
11541,833,Colchón Látex Soft,látex,23 cm,4,,,,,,,,4860,"1,7",65,22,5,no,no,,,,,
11557,833,Colchón Látex Soft,látex,23 cm,4,4864,"1,71",59,20,5,si,si,4863,"1,75",85,28,5,si,si,,,,,
11979,833,Colchón Látex Soft,látex,23 cm,4,4961,"1,68",65,23,4,no,no,4960,"1,78",75,24,4,no,no,,,,,
13537,833,Colchón Látex Soft,látex,23 cm,4,,,,,,,,5085,"1,7",65,22,"3,5",no,no,,,,,
13729,833,Colchón Látex Soft,látex,23 cm,4,5222,"1,65",70,26,4,si,si,,,,,,,,,,,,
15490,833,Colchón Látex Soft,látex,23 cm,4,5262,"1,59",90,36,5,no,no,,,,,,,,,,,,
16947,833,Colchón Látex Soft,látex,23 cm,4,2422,"1,67",59,21,"3,5",no,no,2421,"1,72",70,24,"3,5",si,si,,,,,
17480,833,Colchón Látex Soft,látex,23 cm,4,2433,"1,65",74,27,5,no,no,2434,"1,7",90,31,3,no,no,,,,,
18011,833,Colchón Látex Soft,látex,23 cm,4,,,,,,,,2444,"1,75",100,33,5,no,no,,,,,
18267,833,Colchón Látex Soft,látex,23 cm,4,,,,,,,,2476,"1,8",100,31,2,si,si,,,,,
19719,833,Colchón Látex Soft,látex,23 cm,4,2464,"1,56",60,25,5,no,no,2463,"1,77",90,29,5,no,no,,,,,
21225,833,Colchón Látex Soft,látex,23 cm,4,2470,"1,65",65,24,5,no,no,2469,"1,8",75,23,5,si,no,,,,,
22075,833,Colchón Látex Soft,látex,23 cm,4,,,,,,,,2889,"1,8",115,35,5,no,no,,,,,
22471,833,Colchón Látex Soft,látex,23 cm,4,2908,"1,6",62,24,5,no,no,2907,"1,7",70,24,4,no,no,,,,,
5976,484,colchón Level,espumación HR,27 cm,4,,,,,,,,3837,"1,8",90,28,5,no,no,,,,,
5976,484,colchón Level,espumación HR,27 cm,4,,,,,,,,5985,"1,8",90,28,5,no,no,,,,,
6424,484,colchón Level,espumación HR,27 cm,4,,,,,,,,3758,"1,94",80,21,4,no,no,,,,,
6424,484,colchón Level,espumación HR,27 cm,4,,,,,,,,5912,"1,94",80,21,4,no,no,,,,,
6701,484,colchón Level,espumación HR,27 cm,4,3628,"1,6",50,20,5,no,no,3627,2,100,25,5,no,no,,,,,
6761,484,colchón Level,espumación HR,27 cm,4,3596,"1,64",67,25,2,si,si,3597,"1,68",80,28,2,no,-,,,,,
6761,484,colchón Level,espumación HR,27 cm,4,5758,"1,64",67,25,2,si,si,5759,"1,68",80,28,2,no,-,,,,,
24241,1108,colchón Maxim,muelles Ensacados,30 cm,3,2944,"1,7",50,17,5,no,no,2943,"1,75",93,30,5,no,no,,,,,
5113,460,colchón Máxim,muelles Ensacados,30 cm,3,3991,"1,75",85,28,4,no,no,,,,,,,,,,,,
5113,460,colchón Máxim,muelles Ensacados,30 cm,3,6126,"1,75",85,28,4,no,no,,,,,,,,,,,,
4640,491,colchón Metropoli Visco,muelles,27 cm,3,4072,"1,63",80,30,5,si,no,4071,"1,9",90,25,5,si,no,,,,,
4640,491,colchón Metropoli Visco,muelles,27 cm,3,6206,"1,63",80,30,5,si,no,6205,"1,9",90,25,5,si,no,,,,,
5592,491,colchón Metropoli Visco,muelles,27 cm,3,3951,"1,64",63,23,4,si,si,3950,"1,75",75,24,4,no,no,,,,,
5592,491,colchón Metropoli Visco,muelles,27 cm,3,6099,"1,64",63,23,4,si,si,6098,"1,75",75,24,4,no,no,,,,,
5595,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,3949,"1,72",70,24,"4,5",no,no,,,,,
5595,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,6097,"1,72",70,24,"4,5",no,no,,,,,
7060,491,colchón Metropoli Visco,muelles,27 cm,3,3565,"1,7",60,21,4,no,no,3564,"1,8",80,25,4,no,no,,,,,
7060,491,colchón Metropoli Visco,muelles,27 cm,3,5727,"1,7",60,21,4,no,no,5726,"1,8",80,25,4,no,no,,,,,
7101,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,,,,,,,,4721,"1,62",55,21,"4,5"
7249,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,4420,"1,77",73,23,4,no,no,,,,,
8234,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,,,,,,,,4706,"1,7",65,22,4
8290,491,colchón Metropoli Visco,muelles,27 cm,3,4707,"1,7",70,24,4,si,no,,,,,,,,,,,,
8634,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,,,,,,,,4710,"1,6",50,20,"4,5"
8957,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,4350,"1,75",80,26,"4,5",si,no,,,,,
8973,491,colchón Metropoli Visco,muelles,27 cm,3,4354,"1,65",72,26,"4,5",no,no,,,,,,,,,,,,
9422,491,colchón Metropoli Visco,muelles,27 cm,3,4695,"1,85",58,17,5,no,no,4696,"1,6",75,29,5,no,no,,,,,
16635,491,colchón Metropoli Visco,muelles,27 cm,3,2761,"1,6",60,23,4,si,no,2762,"1,87",83,24,4,no,no,,,,,
16664,491,colchón Metropoli Visco,muelles,27 cm,3,,,,,,,,,,,,,,,2781,"1,65",50,18,"4,5"
3439,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,3279,"1,8",80,25,4,si,si,,,,,
3439,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,5452,"1,8",80,25,4,si,si,,,,,
3485,36,colchón Multielástic Visco,muelles,27 cm,5,3284,"1,68",55,19,5,no,no,,,,,,,,,,,,
3485,36,colchón Multielástic Visco,muelles,27 cm,5,5457,"1,68",55,19,5,no,no,,,,,,,,,,,,
3547,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,3287,"1,7",80,28,5,si,no,,,,,
3547,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,5460,"1,7",80,28,5,si,no,,,,,
3593,36,colchón Multielástic Visco,muelles,27 cm,5,3307,"1,8",80,25,5,si,no,,,,,,,,,,,,
3593,36,colchón Multielástic Visco,muelles,27 cm,5,5480,"1,8",80,25,5,si,no,,,,,,,,,,,,
3733,36,colchón Multielástic Visco,muelles,27 cm,5,3324,"1,8",85,26,5,no,no,3323,"1,9",95,26,5,no,no,,,,,
3733,36,colchón Multielástic Visco,muelles,27 cm,5,5497,"1,8",85,26,5,no,no,5496,"1,9",95,26,5,no,no,,,,,
3755,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,3327,"1,85",80,23,5,si,no,,,,,
3755,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,5500,"1,85",80,23,5,si,no,,,,,
3771,36,colchón Multielástic Visco,muelles,27 cm,5,3331,"1,65",60,22,5,no,no,3332,"1,79",81,25,5,no,no,,,,,
3771,36,colchón Multielástic Visco,muelles,27 cm,5,5504,"1,65",60,22,5,no,no,5505,"1,79",81,25,5,no,no,,,,,
3813,36,colchón Multielástic Visco,muelles,27 cm,3,3341,"1,75",70,23,4,no,no,3342,"1,75",90,29,5,no,no,,,,,
3813,36,colchón Multielástic Visco,muelles,27 cm,3,5514,"1,75",70,23,4,no,no,5515,"1,75",90,29,5,no,no,,,,,
3908,36,colchón Multielástic Visco,muelles,27 cm,5,3358,"1,56",70,29,4,si,si,3359,"1,92",160,43,"3,5",si,no,,,,,
3908,36,colchón Multielástic Visco,muelles,27 cm,5,5531,"1,56",70,29,4,si,si,5532,"1,92",160,43,"3,5",si,no,,,,,
4092,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,3446,"1,83",80,24,5,si,no,,,,,
4092,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,5619,"1,83",80,24,5,si,no,,,,,
4297,36,colchón Multielástic Visco,muelles,27 cm,5,3445,"1,75",56,18,4,no,no,3444,"1,8",92,28,4,si,si,,,,,
4297,36,colchón Multielástic Visco,muelles,27 cm,5,5618,"1,75",56,18,4,no,no,5617,"1,8",92,28,4,si,si,,,,,
4345,36,colchón Multielástic Visco,muelles,27 cm,5,3419,"1,68",60,21,5,no,no,3420,"1,84",90,27,5,si,si,,,,,
4345,36,colchón Multielástic Visco,muelles,27 cm,5,5592,"1,68",60,21,5,no,no,5593,"1,84",90,27,5,si,si,,,,,
4449,36,colchón Multielástic Visco,muelles,27 cm,5,3436,"1,7",57,20,5,no,no,3435,"1,85",85,25,4,no,no,,,,,
4449,36,colchón Multielástic Visco,muelles,27 cm,5,5609,"1,7",57,20,5,no,no,5608,"1,85",85,25,4,no,no,,,,,
4575,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,4068,"1,8",110,34,4,si,no,,,,,
4575,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,6202,"1,8",110,34,4,si,no,,,,,
4692,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,3473,"1,85",75,22,5,no,no,,,,,
4692,36,colchón Multielástic Visco,muelles,27 cm,5,,,,,,,,5643,"1,85",75,22,5,no,no,,,,,
4852,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,,,,,,,,4109,"1,5",33,15,4
4852,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,,,,,,,,6242,"1,5",33,15,4
5459,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,3925,"1,67",70,25,5,no,no,,,,,
5459,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,6073,"1,67",70,25,5,no,no,,,,,
5596,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,3915,"1,78",82,26,5,no,no,,,,,
5596,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,6063,"1,78",82,26,5,no,no,,,,,
5689,36,colchón Multielástic Visco,muelles,27 cm,4,3893,"1,65",70,26,5,no,no,3892,"1,85",110,32,5,no,no,,,,,
5689,36,colchón Multielástic Visco,muelles,27 cm,4,6041,"1,65",70,26,5,no,no,6040,"1,85",110,32,5,no,no,,,,,
6214,36,colchón Multielástic Visco,muelles,27 cm,4,3789,"1,55",55,23,4,no,no,3788,"1,92",110,30,"4,5",si,no,,,,,
6214,36,colchón Multielástic Visco,muelles,27 cm,4,5943,"1,55",55,23,4,no,no,5942,"1,92",110,30,"4,5",si,no,,,,,
6328,36,colchón Multielástic Visco,muelles,27 cm,4,3766,"1,61",50,19,4,no,no,,,,,,,,,,,,
6328,36,colchón Multielástic Visco,muelles,27 cm,4,5920,"1,61",50,19,4,no,no,,,,,,,,,,,,
6354,36,colchón Multielástic Visco,muelles,27 cm,4,,,,,,,,3762,"1,95",100,26,4,si,no,,,,,
